date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:48	1659/1659	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2029%20Oct%202022%2004:27:59%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~Information~NoAddressLocation~Payment~PostPurchase~Review~Shipping~ShopPay~Sho~cf13f96e.baseline.en.8d3a709bcf8c04f77ed7.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_Information_NoAddressLocation_Payment_PostPurchase_Review_Shipping_ShopPay_Sho_cf13f96e.baseline.en.8d3a709bcf8c04f77ed7.js	(from https://nokshi-2.myshopify.com/)
16:34:48	77307/77307	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Jan%202023%2015:26:15%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.baseline.en.935f71e1b5e37b1a673d.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.baseline.en.935f71e1b5e37b1a673d.js	(from https://nokshi-2.myshopify.com/)
16:34:48	14938/14938	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Jan%202023%2015:26:15%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment.baseline.en.e38e94a10255bd8dac2c.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment.baseline.en.e38e94a10255bd8dac2c.js	(from https://nokshi-2.myshopify.com/)
16:34:48	197499/197499	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Jan%202023%2015:26:16%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information.baseline.en.3c067bc64a64a71ff5ad.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/Information.baseline.en.3c067bc64a64a71ff5ad.js	(from https://nokshi-2.myshopify.com/)
16:34:49	371579/371579	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Jan%202023%2015:26:16%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui~app.baseline.en.26a0342d355a675e2801.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui_app.baseline.en.26a0342d355a675e2801.js	(from https://nokshi-2.myshopify.com/)
16:34:49	161668/161668	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202023%2014:48:15%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~app.baseline.en.4e70883e139eb5a799c1.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_app.baseline.en.4e70883e139eb5a799c1.js	(from https://nokshi-2.myshopify.com/)
16:34:49	459676/459676	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jan%202023%2011:37:23%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.baseline.en.1188b9033722bc012e84.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.baseline.en.1188b9033722bc012e84.js	(from https://nokshi-2.myshopify.com/)
16:34:49	180614/180614	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202023%2022:59:11%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.baseline.en.954db6995929b6f1f646.css	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.baseline.en.954db6995929b6f1f646.css	(from https://nokshi-2.myshopify.com/)
16:34:49	8976/8976	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2017:44:42%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/app.baseline.en.dd733f21b66b59afc26d.css	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/app.baseline.en.dd733f21b66b59afc26d.css	(from https://nokshi-2.myshopify.com/)
16:34:50	3021/3021	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Jan%202023%2015:26:17%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.baseline.en.9f248e42bf2a8151ea27.css	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.baseline.en.9f248e42bf2a8151ea27.css	(from https://nokshi-2.myshopify.com/)
16:34:50	85598/85598	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:8d8eabe640d8265819af79149919eed4	https://nokshi-2.myshopify.com/GET	C:/Users/MINAYE/Desktop/sinaq121/nokshi-2.myshopify.com/GET	(from https://nokshi-2.myshopify.com/)
16:34:50	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2012%20Feb%202023%2011:28:43%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://nokshi-2.myshopify.com/)
